Cliente,Antiguedad_Mes,Plan_Precio,Perfil_Pagador,Cantidad_Lineas,Claro_Club,Reclamos_Mes,Reclamos_Resueltos,Reclamo_Frecuente,DatosGB_Mes,Razon_Abandono
C0001,10,150,critico,1,no,5,1,mala atencion,35,mala atencion
C0002,47,200,excelente,3,si,3,1,pocas ofertas,96,pocas promociones
C0003,5,80,regular,1,no,3,0,baja velocidad,12,mala conexion
C0004,25,120,excelente,2,si,1,0,pocas ofertas,58,pocas promociones
C0005,38,180,critico,4,si,7,2,cobro excesivo,79,mala conexion
C0006,5,70,regular,1,no,4,0,problema de cobertura,10,mala conexion
C0007,57,250,excelente,5,si,3,0,mala atencion,121,mala atencion
C0008,13,90,regular,2,no,3,1,pocas ofertas,32,pocas promociones
C0009,9,110,critico,1,no,6,1,cobro excesivo,28,precios altos
C0010,20,130,excelente,2,si,4,3,problema de cobertura,54,mala conexion
C0011,13,150,critico,1,no,6,1,mala atencion,45,mala atencion
C0012,50,200,excelente,3,si,1,1,pocas ofertas,94,precios altos
C0013,8,80,regular,1,no,4,0,baja velocidad,10,mala conexion
C0014,21,120,excelente,2,si,2,0,pocas ofertas,56,pocas promociones
C0015,34,180,critico,4,si,5,2,cobro excesivo,77,precios altos
C0016,1,70,regular,1,no,5,0,problema de cobertura,8,mala conexion
C0017,60,250,excelente,5,si,4,0,mala atencion,119,mala atencion
C0018,16,90,regular,2,no,1,1,pocas ofertas,30,pocas promociones
C0019,12,110,critico,1,no,7,1,cobro excesivo,26,precios altos
C0020,23,130,excelente,2,si,5,3,problema de cobertura,52,precios altos
C0021,9,150,critico,1,no,4,1,mala atencion,43,mala atencion
C0022,46,200,excelente,3,si,2,1,pocas ofertas,104,precios altos
C0023,4,80,regular,1,no,5,0,baja velocidad,20,mala conexion
C0024,24,120,excelente,2,si,0,0,pocas ofertas,54,pocas promociones
C0025,37,180,critico,4,si,6,2,cobro excesivo,75,precios altos
C0026,4,70,regular,1,no,6,0,problema de cobertura,6,mala conexion
C0027,63,250,excelente,5,si,2,0,mala atencion,117,mala atencion
C0028,12,90,regular,2,no,2,1,pocas ofertas,28,pocas promociones
C0029,8,110,critico,1,no,8,1,cobro excesivo,24,mala conexion
C0030,19,130,excelente,2,si,3,3,problema de cobertura,50,mala conexion
C0031,12,150,critico,1,no,5,1,mala atencion,41,precios altos
C0032,49,200,excelente,3,si,3,1,pocas ofertas,102,precios altos
C0033,7,80,regular,1,no,3,0,baja velocidad,18,mala conexion
C0034,27,120,excelente,2,si,1,0,pocas ofertas,64,pocas promociones
C0035,33,180,critico,4,si,7,2,cobro excesivo,85,precios altos
C0036,1,70,regular,1,no,4,0,problema de cobertura,5,mala conexion
C0037,59,250,excelente,5,si,3,0,mala atencion,115,mala atencion
C0038,15,90,regular,2,no,3,1,pocas ofertas,26,mala atencion
C0039,11,110,critico,1,no,6,1,cobro excesivo,22,precios altos
C0040,22,130,excelente,2,si,4,3,problema de cobertura,48,mala conexion
C0041,15,150,critico,1,no,6,1,mala atencion,39,mala atencion
C0042,45,200,excelente,3,si,1,1,pocas ofertas,100,precios altos
C0043,3,80,regular,1,no,4,0,baja velocidad,16,mala atencion
C0044,23,120,excelente,2,si,2,0,pocas ofertas,62,pocas promociones
C0045,36,180,critico,4,si,5,2,cobro excesivo,83,precios altos
C0046,3,70,regular,1,no,5,0,problema de cobertura,14,mala conexion
C0047,62,250,excelente,5,si,4,0,mala atencion,125,mala atencion
C0048,18,90,regular,2,no,1,1,pocas ofertas,24,pocas promociones
C0049,7,110,critico,1,no,7,1,cobro excesivo,20,precios altos
C0050,18,130,excelente,2,si,5,3,problema de cobertura,46,mala conexion
C0051,11,150,critico,1,no,4,1,mala atencion,37,mala atencion
C0052,48,200,excelente,3,si,2,1,pocas ofertas,98,pocas promociones
C0053,6,80,regular,1,no,5,0,baja velocidad,14,mala conexion
C0054,26,120,excelente,2,si,0,0,pocas ofertas,60,pocas promociones
C0055,39,180,critico,4,si,6,2,cobro excesivo,81,precios altos
C0056,1,70,regular,1,no,6,0,problema de cobertura,12,mala conexion
C0057,58,250,excelente,5,si,2,0,mala atencion,123,mala atencion
C0058,14,90,regular,2,no,2,1,pocas ofertas,34,pocas promociones
C0059,10,110,critico,1,no,8,1,cobro excesivo,30,precios altos
C0060,21,130,excelente,2,si,3,3,problema de cobertura,44,mala conexion
C0061,14,150,critico,1,no,5,1,mala atencion,35,mala atencion
C0062,51,200,excelente,3,si,3,1,pocas ofertas,96,precios altos
C0063,2,80,regular,1,no,3,0,baja velocidad,12,mala conexion
C0064,22,120,excelente,2,si,1,0,pocas ofertas,58,pocas promociones
C0065,35,180,critico,4,si,7,2,cobro excesivo,79,precios altos
C0066,2,70,regular,1,no,4,0,problema de cobertura,10,mala conexion
C0067,61,250,excelente,5,si,3,0,mala atencion,121,mala atencion
C0068,17,90,regular,2,no,3,1,pocas ofertas,32,pocas promociones
C0069,13,110,critico,1,no,6,1,cobro excesivo,28,precios altos
C0070,17,130,excelente,2,si,4,3,problema de cobertura,54,mala conexion
C0071,10,150,critico,1,no,6,1,mala atencion,45,mala atencion
C0072,47,200,excelente,3,si,1,1,pocas ofertas,94,precios altos
C0073,5,80,regular,1,no,4,0,baja velocidad,10,mala conexion
C0074,25,120,excelente,2,si,2,0,pocas ofertas,56,pocas promociones
C0075,38,180,critico,4,si,5,2,cobro excesivo,77,mala conexion
C0076,5,70,regular,1,no,5,0,problema de cobertura,8,mala conexion
C0077,57,250,excelente,5,si,4,0,mala atencion,119,precios altos
C0078,13,90,regular,2,no,1,1,pocas ofertas,30,pocas promociones
C0079,9,110,critico,1,no,7,1,cobro excesivo,26,mala conexion
C0080,20,130,excelente,2,si,5,3,problema de cobertura,52,mala conexion
C0081,13,150,critico,1,no,4,1,mala atencion,43,mala atencion
C0082,50,200,excelente,3,si,2,1,pocas ofertas,104,precios altos
C0083,8,80,regular,1,no,5,0,baja velocidad,20,mala conexion
C0084,21,120,excelente,2,si,0,0,pocas ofertas,54,pocas promociones
C0085,34,180,critico,4,si,6,2,cobro excesivo,75,precios altos
C0086,1,70,regular,1,no,6,0,problema de cobertura,6,mala conexion
C0087,60,250,excelente,5,si,2,0,mala atencion,117,mala atencion
C0088,16,90,regular,2,no,2,1,pocas ofertas,28,pocas promociones
